year,country,institution,uni_rank,uni_score,score_gap_parent,entered_top100_parent,top_uni_parent
2018,United States,"University of Maryland, College Park",129,58.1,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,University of Southern California,132,57.2,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,"University of California, Santa Barbara (UCSB)",134,56.9,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,University of Minnesota Twin Cities,163,52.2,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,Dartmouth College,169,51.3,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,University of Florida,178,49.8,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,University of Rochester,186,49.3,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,Arizona State University,209,46.7,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,Vanderbilt University,212,46.5,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,Case Western Reserve University,213,46.4,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,University of Notre Dame,216,45.9,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,Georgetown University,227,43.8,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,University of Massachusetts Amherst,249,41.5,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,University of Miami,252,41.2,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,North Carolina State University,263,40.3,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,Indiana University Bloomington,304,37.4,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,University at Buffalo SUNY,318,36.1,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United States,"University of Colorado, Denver ",394,30.8,35.4,1,Massachusetts Institute of Technology (MIT) 
2018,United Kingdom,University of Oxford,6,95.3,31.0,1,University of Cambridge
2018,United Kingdom,UCL,7,94.6,31.0,1,University of Cambridge
2018,United Kingdom,Imperial College London,8,93.7,31.0,1,University of Cambridge
2018,United Kingdom,The University of Manchester,34,83.0,31.0,1,University of Cambridge
2018,United Kingdom,The London School of Economics and Political Science (LSE),35,81.8,31.0,1,University of Cambridge
2018,United Kingdom,University of Bristol,44,79.5,31.0,1,University of Cambridge
